Date,Price,Open,High,Low,Vol.,Change %
15-01-2013,"12,855.40","12,766.55","12,908.20","12,718.40",22.10M,0.76%
14-01-2013,"12,758.75","12,622.05","12,773.35","12,609.90",18.87M,1.12%
11-01-2013,"12,617.85","12,832.45","12,834.55","12,582.65",16.29M,-1.44%
10-01-2013,"12,802.25","12,775.25","12,822.80","12,697.75",17.95M,0.66%
09-01-2013,"12,718.00","12,724.40","12,791.70","12,687.95",20.80M,-0.06%
08-01-2013,"12,725.50","12,693.60","12,743.95","12,632.35",16.16M,0.13%
07-01-2013,"12,708.70","12,837.45","12,837.45","12,682.80",15.38M,-0.62%
04-01-2013,"12,787.35","12,774.80","12,801.70","12,684.65",14.25M,0.07%
03-01-2013,"12,778.15","12,828.30","12,837.80","12,722.45",15.30M,-0.07%
02-01-2013,"12,786.85","12,748.85","12,811.45","12,748.85",19.17M,1.05%
01-01-2013,"12,654.15","12,549.95","12,663.50","12,547.15",14.46M,1.44%
31-12-2012,"12,474.25","12,442.85","12,512.70","12,427.70",11.48M,0.13%
28-12-2012,"12,458.15","12,494.15","12,494.15","12,394.15",11.78M,-0.01%
27-12-2012,"12,459.70","12,516.05","12,523.50","12,436.65",18.25M,-0.16%
26-12-2012,"12,479.45","12,350.25","12,519.00","12,304.70",10.97M,1.31%
24-12-2012,"12,317.70","12,363.85","12,366.25","12,265.75",11.71M,0.02%
21-12-2012,"12,315.05","12,423.60","12,432.20","12,288.90",17.03M,-1.37%
20-12-2012,"12,486.50","12,514.60","12,514.60","12,385.10",14.90M,-0.19%
19-12-2012,"12,510.25","12,514.00","12,571.60","12,455.55",19.31M,0.27%
18-12-2012,"12,477.15","12,455.70","12,522.65","12,197.20",23.38M,0.40%
17-12-2012,"12,427.45","12,403.65","12,462.25","12,402.70",16.69M,0.02%
14-12-2012,"12,424.70","12,247.25","12,447.35","12,242.80",18.40M,1.27%
13-12-2012,"12,269.15","12,337.35","12,438.85","12,251.05",15.85M,-0.26%
12-12-2012,"12,301.70","12,374.70","12,385.55","12,271.35",16.21M,-0.35%
11-12-2012,"12,344.60","12,418.95","12,538.90","12,238.00",19.64M,-0.30%
10-12-2012,"12,381.65","12,380.00","12,409.75","12,341.15",17.83M,0.15%
07-12-2012,"12,363.70","12,462.40","12,477.85","12,305.65",19.82M,-0.51%
06-12-2012,"12,427.55","12,358.35","12,480.60","12,142.60",17.74M,1.19%
05-12-2012,"12,281.60","12,240.85","12,314.80","12,219.30",15.89M,0.69%
04-12-2012,"12,197.15","12,092.75","12,215.50","12,075.90",15.65M,0.77%
03-12-2012,"12,103.90","12,126.60","12,165.65","12,053.45",16.42M,-0.45%
30-11-2012,"12,158.90","12,082.55","12,175.30","12,001.15",25.46M,1.39%
29-11-2012,"11,992.80","11,706.90","12,035.40","11,703.25",32.11M,2.88%
27-11-2012,"11,657.40","11,502.20","11,663.50","11,502.20",21.56M,1.97%
26-11-2012,"11,432.45","11,534.20","11,534.20","11,411.10",10.23M,-0.38%
23-11-2012,"11,475.80","11,540.60","11,549.00","11,392.00",10.85M,-0.28%
22-11-2012,"11,508.35","11,497.35","11,570.85","11,495.05",13.75M,0.38%
21-11-2012,"11,465.35","11,352.20","11,477.35","11,303.75",15.90M,1.30%
20-11-2012,"11,318.30","11,373.95","11,409.80","11,269.70",14.73M,0.10%
19-11-2012,"11,306.95","11,342.65","11,378.25","11,256.40",11.21M,-0.25%
16-11-2012,"11,335.50","11,487.55","11,537.15","11,306.05",13.78M,-1.61%
15-11-2012,"11,521.40","11,493.10","11,530.25","11,419.05",13.58M,-0.11%
13-11-2012,"11,533.90","11,585.30","11,598.25","11,513.40",2.51M,-0.43%
12-11-2012,"11,583.85","11,488.10","11,608.80","11,462.30",15.43M,0.94%
09-11-2012,"11,475.60","11,608.80","11,663.90","11,427.20",19.61M,-1.19%
08-11-2012,"11,613.55","11,561.35","11,637.95","11,533.30",13.79M,-0.45%
07-11-2012,"11,665.50","11,545.35","11,719.10","11,519.60",21.62M,1.10%
06-11-2012,"11,539.05","11,427.95","11,568.45","11,427.95",14.24M,0.56%
05-11-2012,"11,475.15","11,449.70","11,489.30","11,401.30",11.19M,0.13%
02-11-2012,"11,460.45","11,450.65","11,477.55","11,394.15",26.22M,1.29%
01-11-2012,"11,315.05","11,266.50","11,349.40","11,230.20",11.94M,0.41%
31-10-2012,"11,268.80","11,204.95","11,290.00","11,125.20",14.88M,0.59%
30-10-2012,"11,203.00","11,467.20","11,600.05","11,173.80",28.17M,-2.35%
29-10-2012,"11,472.15","11,506.50","11,585.80","11,431.95",18.03M,-0.32%
26-10-2012,"11,509.15","11,580.85","11,631.25","11,468.25",22.96M,-0.91%
25-10-2012,"11,614.50","11,542.30","11,643.40","11,542.30",25.24M,0.31%
23-10-2012,"11,578.15","11,605.80","11,656.80","11,534.55",17.41M,-0.25%
22-10-2012,"11,607.40","11,422.10","11,619.25","11,419.40",15.92M,1.01%
19-10-2012,"11,491.20","11,539.05","11,605.65","11,424.25",16.02M,-0.82%
18-10-2012,"11,586.35","11,406.45","11,594.60","11,364.20",20.71M,2.01%
17-10-2012,"11,358.25","11,417.10","11,425.45","11,302.90",12.58M,0.09%
16-10-2012,"11,348.00","11,495.50","11,508.50","11,328.25",16.85M,-0.82%
15-10-2012,"11,441.80","11,397.70","11,454.80","11,288.40",10.66M,0.47%
12-10-2012,"11,388.45","11,469.20","11,527.15","11,372.10",16.21M,-0.37%
11-10-2012,"11,431.30","11,334.90","11,476.95","11,244.70",23.06M,1.24%
10-10-2012,"11,291.50","11,380.25","11,380.25","11,271.15",13.86M,-1.35%
09-10-2012,"11,446.10","11,442.75","11,528.35","11,373.70",12.46M,0.74%
08-10-2012,"11,362.20","11,530.65","11,530.65","11,342.85",15.28M,-1.30%
05-10-2012,"11,511.40","11,745.20","11,745.20","10,043.60",24.03M,-1.07%
04-10-2012,"11,636.05","11,460.15","11,685.55","11,460.15",20.86M,1.94%
03-10-2012,"11,414.95","11,440.20","11,471.85","11,361.65",18.41M,-0.05%
01-10-2012,"11,420.45","11,462.10","11,466.05","11,366.40",13.63M,-0.32%
28-09-2012,"11,456.80","11,486.55","11,536.85","11,437.90",20.07M,0.33%
27-09-2012,"11,419.45","11,466.25","11,490.25","11,378.35",27.64M,-0.07%
26-09-2012,"11,427.25","11,385.70","11,441.05","11,322.25",21.36M,0.06%
25-09-2012,"11,420.75","11,450.45","11,517.65","11,321.20",28.72M,-0.02%
24-09-2012,"11,423.50","11,359.30","11,533.75","11,359.30",32.93M,0.57%
21-09-2012,"11,358.50","10,973.15","11,433.10","10,973.15",40.75M,4.01%
20-09-2012,"10,920.80","10,907.70","11,031.80","10,887.00",27.52M,-1.11%
18-09-2012,"11,043.50","10,949.95","11,065.00","10,922.70",28.07M,0.56%
17-09-2012,"10,981.65","10,797.10","11,045.45","10,797.10",45.64M,3.18%
14-09-2012,"10,642.90","10,408.25","10,664.55","10,408.25",38.85M,4.26%
13-09-2012,"10,207.80","10,213.85","10,259.40","10,171.25",13.52M,0.24%
12-09-2012,"10,183.45","10,176.45","10,223.95","10,109.60",14.27M,0.47%
11-09-2012,"10,135.90","10,020.75","10,154.20","10,006.50",13.47M,0.66%
