Date,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume
"April 08, 2016, Friday",-0.11186393,0.1510618,0.26292574,7
"April 08, 2017, Saturday",0.019893548,0.03793796,0.018044414,1
"April 08, 2018, Sunday",0.38861787,0.40651408,0.017896203,3
"April 08, 2019, Monday",0.22892216,0.42626968,0.19734752,5
"April 08, 2020, Wednesday",0.07568833,0.14563872,0.06995039,4
"April 09, 2003, Wednesday",-0.2092599,0.050614692,0.25987458,10
"April 09, 2004, Friday",-0.09872485,0.32008314,0.418808,12
"April 09, 2005, Saturday",0.1746723,0.3792213,0.204549,10
"April 09, 2006, Sunday",-0.23180336,0.18785448,0.41965786,4
"April 09, 2007, Monday",0.0071010115,0.2679576,0.2608566,5
"April 09, 2008, Wednesday",-0.13863038,0.22509585,0.3637262,7
"April 09, 2009, Thursday",-0.27738816,0.27271187,0.5501,16
"April 09, 2010, Friday",0.32828298,0.48067316,0.1523902,16
"April 09, 2011, Saturday",-0.037968624,0.35395488,0.39192352,6
"April 09, 2012, Monday",-0.58311206,0.05041036,0.63352245,6
"April 09, 2013, Tuesday",-0.0036830895,0.29916677,0.30284986,12
"April 09, 2014, Wednesday",-0.091454,0.24698421,0.3384382,2
"April 09, 2015, Thursday",0.13377574,0.19181384,0.058038108,7
"April 09, 2016, Saturday",0.13083842,0.32728025,0.19644184,7
"April 09, 2017, Sunday",0.45293775,0.47817278,0.025235003,6
"April 09, 2018, Monday",-0.05847728,0.17054078,0.22901806,11
"April 09, 2019, Tuesday",-0.4826944,0.2264091,0.70910347,5
"April 09, 2020, Thursday",-0.22719216,0.14638047,0.37357265,4
"April 10, 2003, Thursday",-0.06474241,0.069377474,0.13411988,7
"April 10, 2004, Saturday",0.44588554,0.4811679,0.03528237,2
"April 10, 2005, Sunday",0.44578353,0.4587473,0.012963778,1
"April 10, 2006, Monday",-0.2924104,0.25764656,0.550057,7
"April 10, 2007, Tuesday",0.49289137,0.5459155,0.053024102,9
"April 10, 2008, Thursday",0.21781886,0.491678,0.2738591,4
"April 10, 2009, Friday",0.3004324,0.47966182,0.17922944,18
"April 10, 2010, Saturday",-0.09532209,0.26499778,0.36031985,8
"April 10, 2011, Sunday",0.15658066,0.29745907,0.14087841,4
"April 10, 2012, Tuesday",-0.13253847,0.23282084,0.3653593,16
"April 10, 2013, Wednesday",-0.1557195,0.21427731,0.36999682,14
"April 10, 2014, Thursday",0.08467823,0.30890685,0.22422862,7
"April 10, 2015, Friday",0.17135544,0.21675958,0.045404147,6
"April 10, 2016, Sunday",-0.052532196,0.27428836,0.32682055,3
"April 10, 2017, Monday",-0.40457124,0.030561406,0.43513265,2
"April 10, 2018, Tuesday",-0.23642237,0.1942738,0.4306962,8
"April 10, 2019, Wednesday",-0.14389797,0.03457436,0.17847233,2
"April 10, 2020, Friday",-0.3445511,0.30764303,0.6521941,3
"April 11, 2003, Friday",0.03102819,0.19312818,0.1621,6
"April 11, 2005, Monday",0.20419088,0.40022764,0.19603676,5
"April 11, 2006, Tuesday",0.06589168,0.34164166,0.27574998,16
"April 11, 2007, Wednesday",0.093851194,0.4125471,0.31869593,9
"April 11, 2008, Friday",0.012922862,0.31616053,0.3032377,7
"April 11, 2009, Saturday",0.33596945,0.5397881,0.20381868,5
"April 11, 2010, Sunday",0.14325161,0.37798682,0.2347352,6
"April 11, 2011, Monday",0.25363824,0.46459687,0.21095866,9
"April 11, 2012, Wednesday",0.124939285,0.37586102,0.25092176,13
"April 11, 2013, Thursday",0.2390328,0.30135012,0.06231731,9
"April 11, 2014, Friday",-0.344556,0.070859134,0.4154151,7
